year,habitat,quadrat,species,Color desc,diameter_cm,biomass_g
2022,Barren,111,Strongylocentrotus droebachiensis,green,4.2,29.001
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.3,16.396
2022,Barren,111,Strongylocentrotus droebachiensis,pink,2.8,10.893
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.3,13.655
2022,Barren,111,Strongylocentrotus droebachiensis,pink,4.2,36.196
2022,Barren,111,Strongylocentrotus droebachiensis,green,2.8,11.711
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.9,31.171
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.6,21.825
2022,Barren,111,Strongylocentrotus droebachiensis,pink,2.5,7.511
2022,Barren,111,Strongylocentrotus droebachiensis,green,3,15.049
2022,Barren,111,Strongylocentrotus droebachiensis,green,4.8,55.539
2022,Barren,111,Strongylocentrotus droebachiensis,green,1.9,4.382
2022,Barren,111,Strongylocentrotus droebachiensis,green,2.7,12.065
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.2,18.113
2022,Barren,111,Strongylocentrotus droebachiensis,green,2.7,10.496
2022,Barren,111,Strongylocentrotus droebachiensis,pink,2.7,9.93
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.3,17.889
2022,Barren,111,Strongylocentrotus droebachiensis,green,2.4,6.261
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.1,14.596
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.5,19.387
2022,Barren,111,Strongylocentrotus droebachiensis,pink,3,12.649
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.2,17.591
2022,Barren,111,Strongylocentrotus droebachiensis,green,2.8,9.8
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.2,17.386
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.8,24.63
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.3,16.87
2022,Barren,111,Strongylocentrotus droebachiensis,pink,2,4.31
2022,Barren,111,Strongylocentrotus droebachiensis,pink,2.7,9.62
2022,Barren,111,Strongylocentrotus droebachiensis,green,2,4.86
2022,Barren,111,Strongylocentrotus droebachiensis,pink,3.2,14.878
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.9,29.076
2022,Barren,111,Strongylocentrotus droebachiensis,green,3,13.444
2022,Barren,111,Strongylocentrotus droebachiensis,pink,2.5,7.933
2022,Barren,111,Strongylocentrotus droebachiensis,green,4.1,38.978
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.8,24.122
2022,Barren,111,Strongylocentrotus droebachiensis,green,4.4,44.405
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.2,17.088
2022,Barren,111,Strongylocentrotus droebachiensis,green,3,13.358
2022,Barren,111,Strongylocentrotus droebachiensis,green,2,4.286
2022,Barren,111,Strongylocentrotus droebachiensis,green,2.3,6.684
2022,Barren,111,Strongylocentrotus droebachiensis,green,2.8,11.893
2022,Barren,111,Strongylocentrotus droebachiensis,pink,2.6,8.922
2022,Barren,111,Strongylocentrotus droebachiensis,green,4.3,41.693
2022,Barren,111,Strongylocentrotus droebachiensis,green,2.6,9.11
2022,Barren,111,Strongylocentrotus droebachiensis,green,2.8,13.114
2022,Barren,111,Strongylocentrotus droebachiensis,green,3.6,24.197
2022,Barren,111,Strongylocentrotus droebachiensis,pink,3.7,21.834
2022,Barren,111,Strongylocentrotus droebachiensis,pink,2,3.883
2022,Barren,111,Strongylocentrotus droebachiensis,pink,3,13.011
2022,Barren,111,Strongylocentrotus droebachiensis,green,1.8,3.209
2022,Barren,111,Strongylocentrotus droebachiensis,pink,1.4,1.364
2022,Barren,111,Strongylocentrotus droebachiensis,pink,2.9,11.229
2022,Barren,111,Strongylocentrotus droebachiensis,green,1.5,2.004
2022,Barren,111,Strongylocentrotus droebachiensis,green,1,0.545
2022,Barren,111,Strongylocentrotus droebachiensis,pink,0.9,0.383
2022,Barren,111,Strongylocentrotus droebachiensis,green,1.8,3.598
2022,Barren,111,Strongylocentrotus droebachiensis,green,1.9,4.118
2022,Barren,111,Strongylocentrotus droebachiensis,pink,1.2,1.264
2022,Barren,111,Strongylocentrotus droebachiensis,green,1.5,1.779
2022,Barren,111,Strongylocentrotus droebachiensis,pink,1.1,0.887
2022,Barren,111,Strongylocentrotus pallidus,green,3.9,28.342
2022,Barren,111,Strongylocentrotus pallidus,green,4.7,46.806
2022,Barren,111,Strongylocentrotus pallidus,green,2.6,9.243
2022,Barren,111,Strongylocentrotus pallidus,green,2.7,9.564
2022,Barren,111,Strongylocentrotus pallidus,green,2.4,7.191
2022,Barren,111,Strongylocentrotus pallidus,green,2.3,5.241
2022,Barren,111,Strongylocentrotus pallidus,green,2.6,8.028
2022,Barren,111,Strongylocentrotus pallidus,green,3.1,13.328
2022,Barren,111,Strongylocentrotus pallidus,green,2.2,5.367
2022,Barren,111,Strongylocentrotus pallidus,green,2.6,8.262
2022,Barren,111,Strongylocentrotus pallidus,green,3.7,20.209
2022,Barren,111,Strongylocentrotus pallidus,green,2.3,6.784
2022,Barren,111,Strongylocentrotus pallidus,green,1.6,2.28
2022,Barren,111,Strongylocentrotus pallidus,green,1.8,2.595
2022,Barren,111,Strongylocentrotus pallidus,green,1.1,0.606
2022,Barren,111,Strongylocentrotus pallidus,green,3,
2022,Barren,112,Strongylocentrotus droebachiensis,green,3.6,22.163
2022,Barren,112,Strongylocentrotus droebachiensis,green,4,28.732
2022,Barren,112,Strongylocentrotus droebachiensis,green,4.3,40.101
2022,Barren,112,Strongylocentrotus droebachiensis,green,4.8,51.498
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.8,10.974
2022,Barren,112,Strongylocentrotus droebachiensis,green,3.8,27.176
2022,Barren,112,Strongylocentrotus droebachiensis,green,3,14.345
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.9,12.872
2022,Barren,112,Strongylocentrotus droebachiensis,pink,4.6,43.607
2022,Barren,112,Strongylocentrotus droebachiensis,pink,2.7,7.998
2022,Barren,112,Strongylocentrotus droebachiensis,pink,2.2,5.756
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1.9,3.27
2022,Barren,112,Strongylocentrotus droebachiensis,pink,3.8,25.841
2022,Barren,112,Strongylocentrotus droebachiensis,pink,2.5,7.212
2022,Barren,112,Strongylocentrotus droebachiensis,pink,2.4,6.491
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1.8,3.074
2022,Barren,112,Strongylocentrotus droebachiensis,green,3.7,18.785
2022,Barren,112,Strongylocentrotus droebachiensis,green,4.2,33.425
2022,Barren,112,Strongylocentrotus droebachiensis,green,3.9,26.272
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.9,11.485
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.2,5.837
2022,Barren,112,Strongylocentrotus droebachiensis,green,3.8,25.281
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.2,5.178
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.7,9.217
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.1,4.43
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.5,7.216
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.4,6.811
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.4,6.993
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.9,10.499
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.6,2.192
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.4,6.332
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.3,5.754
2022,Barren,112,Strongylocentrotus droebachiensis,green,2,3.372
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.4,7.404
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.3,1.271
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.9,3.3
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.6,2.303
2022,Barren,112,Strongylocentrotus droebachiensis,green,2,3.617
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.9,3.448
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.7,2.64
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.8,3.434
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.4,1.726
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1,0.602
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.1,4.18
2022,Barren,112,Strongylocentrotus droebachiensis,green,3.1,13.845
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.6,1.815
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.5,1.69
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.2,0.933
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.2,5.209
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.6,7.173
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1.8,2.187
2022,Barren,112,Strongylocentrotus droebachiensis,green,3.2,14.622
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1.7,2.54
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.2,5.195
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.4,2.123
2022,Barren,112,Strongylocentrotus droebachiensis,green,3.5,17.237
2022,Barren,112,Strongylocentrotus droebachiensis,green,3.5,20.593
2022,Barren,112,Strongylocentrotus droebachiensis,green,4,31.697
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1.4,1.86
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.6,2.146
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.8,9.958
2022,Barren,112,Strongylocentrotus droebachiensis,pink,3.8,23.471
2022,Barren,112,Strongylocentrotus droebachiensis,green,0.9,0.464
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.6,2.372
2022,Barren,112,Strongylocentrotus droebachiensis,green,2,3.332
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.8,10.735
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1.7,2.432
2022,Barren,112,Strongylocentrotus droebachiensis,green,3.3,15.435
2022,Barren,112,Strongylocentrotus droebachiensis,green,2,3.4
2022,Barren,112,Strongylocentrotus droebachiensis,green,2,3.698
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1.7,2.302
2022,Barren,112,Strongylocentrotus droebachiensis,green,1,0.592
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1.9,2.847
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.7,7.906
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.9,3.87
2022,Barren,112,Strongylocentrotus droebachiensis,green,3.6,24.795
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.2,5.17
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.8,11.169
2022,Barren,112,Strongylocentrotus droebachiensis,green,3.1,14.598
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.9,3.685
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.8,2.665
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.1,0.813
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.4,1.785
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.6,1.871
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1.5,1.785
2022,Barren,112,Strongylocentrotus droebachiensis,green,4,27.486
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.8,3.024
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.3,6.188
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.9,3.46
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.5,1.909
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.2,5.442
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.1,0.674
2022,Barren,112,Strongylocentrotus droebachiensis,green,3.9,26.376
2022,Barren,112,Strongylocentrotus droebachiensis,green,4.3,33.592
2022,Barren,112,Strongylocentrotus droebachiensis,green,2,3.985
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.2,0.947
2022,Barren,112,Strongylocentrotus droebachiensis,green,2.1,4.674
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.8,3.021
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.7,2.544
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.7,2.197
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.8,2.805
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1.8,3.088
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.6,2.022
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.7,2.852
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1.6,2.368
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.1,0.701
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.3,1.511
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.7,2.43
2022,Barren,112,Strongylocentrotus droebachiensis,green,1,0.635
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.3,1.106
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1.1,0.724
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.5,1.826
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.5,2.108
2022,Barren,112,Strongylocentrotus droebachiensis,green,0.8,0.308
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.2,1.021
2022,Barren,112,Strongylocentrotus droebachiensis,green,0.7,0.267
2022,Barren,112,Strongylocentrotus droebachiensis,green,0.9,0.457
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.2,1.06
2022,Barren,112,Strongylocentrotus droebachiensis,green,0.7,0.201
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.3,1.179
2022,Barren,112,Strongylocentrotus droebachiensis,pink,1.4,1.423
2022,Barren,112,Strongylocentrotus droebachiensis,green,1,0.418
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.3,1.43
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.4,1.505
2022,Barren,112,Strongylocentrotus droebachiensis,green,1.4,1.438
